,Fuel_Type,Body_Type,Gears,Seating_Capacity,Ventilation_System,Airbags,Navigation_System,Model_Name,Mileage,Fuel_Capacity,Price
0,Petrol,Hatchback,4,4.0,Manual Air conditioning with cooling and heating,None,None,Tata Nano Genx,23.6,24.0,292667
1,Petrol,Hatchback,4,4.0,None,None,None,Tata Nano Genx,23.6,24.0,236447
2,CNG,Hatchback,4,4.0,Air Conditioning with cooling only,None,None,Tata Nano Genx,36.0,15.0,296661
3,Petrol,Hatchback,5,4.0,Manual Air conditioning with cooling and heating,None,None,Tata Nano Genx,21.9,24.0,334768
4,Petrol,Hatchback,4,4.0,Air Conditioning with cooling only,None,None,Tata Nano Genx,23.6,24.0,272223
5,Petrol,Hatchback,5,4.0,Air Conditioning with cooling only,None,None,Tata Nano Genx,21.9,24.0,314815
6,Petrol,Hatchback,5,5.0,Yes,None,None,Datsun Redi-Go,25.17,28.0,279650
7,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Datsun Redi-Go,25.17,28.0,351832
8,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Datsun Redi-Go,25.17,28.0,333419
9,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Datsun Redi-Go,25.17,28.0,362000
10,Petrol,Hatchback,5,5.0,Air Conditioning with cooling only,None,None,Datsun Redi-Go,22.5,28.0,390000
11,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,None,None,Datsun Redi-Go,23.0,28.0,437065
12,Petrol,Hatchback,6,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Renault Kwid,25.17,28.0,353290
13,Petrol,Hatchback,5,5.0,Heater,Driver frontal airbag,None,Renault Kwid,25.17,28.0,283290
14,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Renault Kwid,25.17,28.0,383290
15,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,Yes,Renault Kwid,25.17,28.0,413290
16,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Renault Kwid,23.01,28.0,433290
17,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Renault Kwid,23.01,28.0,454490
20,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Renault Kwid,23.01,28.0,440990
21,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Renault Kwid,23.01,28.0,470990
22,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Renault Kwid,23.01,28.0,462190
24,Petrol,MPV,5,5.0,None,Driver frontal airbag,None,Maruti Suzuki Eeco,15.0,40.0,352136
25,Petrol,MPV,5,7.0,None,Driver frontal airbag,None,Maruti Suzuki Eeco,15.0,40.0,380573
26,Petrol,MPV,5,5.0,Manual Air conditioning with cooling and heating,None,None,Maruti Suzuki Eeco,15.0,40.0,392967
27,CNG,MPV,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Eeco,20.0,40.0,466057
28,CNG,MPV,5,5.0,Heater,Driver frontal airbag,None,Maruti Suzuki Eeco,20.0,40.0,425255
29,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Alto K10,24.07,35.0,377588
30,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Alto K10,24.07,35.0,394036
31,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Alto K10,24.07,35.0,360843
32,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Alto K10,24.07,35.0,407238
33,CNG,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,Driver frontal airbag,None,Maruti Suzuki Alto K10,32.26,35.0,439777
